	GSM977998	GSM978000	GSM978001	GSM978002	GSM977997	GSM977999
AFFX-BioB-5_at	7.3382435	7.024503	6.805617	7.0446	7.2842937	6.93194
AFFX-BioB-M_at	7.779178	7.7839403	7.4780054	7.55646	7.7183104	7.7131076
AFFX-BioC-3_at	8.514073	8.63297	8.512155	8.734157	8.582987	8.592406
AFFX-BioC-5_at	8.441038	8.528507	8.340215	8.456415	8.4878435	8.504526
AFFX-BioDn-3_at	10.906947	10.9208355	10.8853655	10.988565	10.948467	10.935326
AFFX-BioDn-5_at	9.680953	9.721897	9.325203	9.466342	9.440213	9.708252
AFFX-CreX-3_at	12.598421	12.989276	12.94492	13.022624	12.544524	13.07254
AFFX-CreX-5_at	11.923462	12.082423	11.869241	11.955152	11.767603	12.032721
AFFX-DapX-3_at	7.043864	7.175853	6.9526815	7.2395077	6.93782	7.059952
AFFX-DapX-5_at	4.7359324	4.674792	4.534782	4.846215	4.665809	4.782705
AFFX-DapX-M_at	6.2901936	6.4736357	6.2726603	6.5312486	6.2228436	6.415622
AFFX-Dr-AB076373-1_at	3.1021063	3.0916665	3.4466074	3.6398344	3.2005198	3.3878036
AFFX-Dr-AF292559-1_at	2.478741	2.5933268	2.8318236	2.5770483	2.6422362	2.8041246
AFFX-Dr-AF292559-2_s_at	2.2290752	2.2970145	2.2051947	2.083873	2.1363177	2.124913
AFFX-Dr-AF292559-3_s_at	2.3274765	2.3082743	2.333092	2.3595054	2.4174073	2.268955
AFFX-Dr-AF292559-4_s_at	2.9646256	2.950918	3.0162532	3.1775546	3.0001798	2.806618
AFFX-Dr-AF292560-1_s_at	2.5203438	2.6542847	2.9807098	2.6485684	2.7911558	2.5096166
AFFX-Dr-AF298789-1_at	2.54104	2.6328604	2.6823878	2.7699022	2.7472746	2.602976
AFFX-Dr-AF323980-1_at	2.4781775	2.4644084	2.5287826	2.6177175	2.4566634	2.548231
AFFX-Dr-AJ002682-1_s_at	3.0134943	3.2102325	3.483319	3.3016386	3.3027632	2.8267999
AFFX-Dr-AJ002682-2_s_at	3.6587303	3.652682	3.6593635	3.675745	3.413857	3.4723928
AFFX-Dr-AJ132968-1_at	3.2983925	3.5900493	3.5655239	3.826709	3.5474222	3.3437781
AFFX-Dr-AY056050-1_at	5.1844287	5.194102	5.4368134	5.2288404	5.3092995	5.1086974
AFFX-Dr-AY342347_s_at	3.8408692	4.294759	4.253134	4.1402955	4.4213667	3.7899785
