Node 209	Node 175	17
Node 825	Node 667	44
Node 531	Node 992	96
Node 488	Node 258	90
Node 376	Node 879	37
Node 204	Node 389	9
Node 901	Node 472	48
Node 671	Node 692	36
Node 452	Node 553	62
Node 681	Node 606	82
Node 509	Node 455	98
Node 886	Node 437	39
Node 737	Node 562	93
Node 995	Node 814	96
Node 170	Node 296	96
Node 521	Node 468	37
Node 300	Node 253	57
Node 323	Node 361	19
Node 158	Node 587	30
Node 776	Node 108	24
Node 806	Node 699	12
Node 674	Node 124	98
Node 610	Node 771	13
Node 593	Node 793	39
Node 681	Node 746	57
Node 334	Node 423	78
Node 165	Node 52	94
Node 951	Node 502	25
Node 512	Node 769	84
Node 40	Node 912	68
Node 589	Node 93	93
Node 239	Node 373	65
Node 458	Node 345	96
Node 867	Node 239	60
Node 207	Node 203	53
Node 369	Node 871	25
Node 845	Node 946	20
Node 143	Node 498	80
Node 851	Node 89	25
Node 369	Node 487	66
Node 532	Node 519	42
Node 948	Node 853	64
Node 791	Node 635	86
Node 970	Node 883	11
Node 677	Node 199	35
Node 534	Node 494	18
Node 250	Node 653	91
Node 428	Node 455	84
Node 341	Node 522	75
Node 174	Node 125	34
Node 469	Node 418	66
Node 239	Node 197	71
Node 120	Node 784	92
Node 939	Node 971	68
Node 675	Node 623	39
Node 462	Node 646	13
Node 927	Node 295	91
Node 830	Node 580	74
Node 477	Node 303	73
Node 34	Node 484	62
Node 264	Node 846	72
Node 692	Node 27	98
Node 506	Node 601	89
Node 713	Node 960	50
Node 120	Node 801	86
Node 386	Node 404	2
Node 126	Node 844	19
Node 14	Node 168	4
Node 198	Node 205	2
Node 613	Node 858	7
Node 823	Node 18	29
Node 480	Node 542	47
Node 856	Node 689	98
Node 401	Node 836	52
Node 974	Node 230	82
Node 346	Node 62	53
Node 226	Node 250	63
Node 712	Node 3	37
Node 804	Node 950	34
Node 98	Node 370	21
Node 907	Node 507	87
Node 645	Node 936	80
Node 884	Node 924	16
Node 649	Node 760	65
Node 417	Node 892	86
Node 680	Node 903	29
Node 150	Node 72	39
Node 121	Node 371	97
Node 325	Node 841	2
Node 577	Node 707	31
Node 551	Node 372	92
Node 603	Node 419	97
Node 641	Node 82	95
Node 257	Node 586	82
Node 667	Node 448	39
Node 705	Node 216	41
Node 918	Node 296	87
Node 373	Node 638	75
Node 628	Node 317	7
Node 389	Node 326	28
Node 314	Node 245	94
Node 590	Node 392	77
Node 466	Node 147	81
Node 195	Node 922	90
Node 647	Node 21	94
Node 942	Node 903	67
Node 487	Node 308	81
Node 734	Node 36	44
Node 33	Node 388	99
Node 939	Node 543	97
Node 470	Node 949	76
Node 496	Node 758	46
Node 9	Node 980	83
Node 121	Node 748	34
Node 799	Node 523	89
Node 633	Node 559	54
Node 454	Node 944	64
Node 327	Node 112	15
Node 864	Node 92	67
Node 749	Node 678	77
Node 739	Node 73	74
Node 938	Node 688	39
Node 338	Node 273	36
Node 158	Node 294	93
Node 765	Node 544	67
Node 644	Node 251	66
Node 341	Node 51	75
Node 893	Node 101	9
Node 185	Node 538	0
Node 868	Node 696	73
Node 687	Node 380	77
Node 75	Node 141	87
Node 121	Node 878	39
Node 206	Node 185	74
Node 673	Node 416	38
Node 565	Node 167	98
Node 818	Node 572	0
Node 223	Node 850	66
Node 196	Node 721	40
Node 798	Node 652	63
Node 457	Node 146	13
Node 435	Node 586	51
Node 619	Node 741	15
Node 845	Node 906	10
Node 404	Node 767	12
Node 887	Node 280	60
Node 935	Node 974	75
Node 975	Node 707	19
Node 900	Node 347	30
Node 980	Node 892	49
Node 631	Node 784	66
Node 862	Node 145	73
Node 964	Node 503	23
Node 999	Node 625	82
Node 145	Node 388	24
Node 639	Node 802	83
Node 215	Node 849	28
Node 382	Node 123	28
Node 958	Node 354	48
Node 450	Node 997	75
Node 330	Node 357	5
Node 925	Node 254	88
Node 823	Node 696	40
Node 110	Node 312	56
Node 808	Node 134	47
Node 867	Node 807	25
Node 0	Node 323	76
Node 807	Node 239	0
Node 18	Node 269	87
Node 52	Node 142	3
Node 459	Node 719	43
Node 978	Node 468	43
Node 263	Node 280	91
Node 959	Node 431	19
Node 113	Node 444	88
Node 531	Node 647	86
Node 474	Node 660	4
Node 873	Node 128	54
Node 188	Node 324	2
Node 564	Node 123	13
Node 624	Node 2	85
Node 142	Node 859	74
Node 559	Node 190	12
Node 983	Node 192	0
Node 566	Node 368	3
Node 624	Node 220	34
Node 29	Node 587	74
Node 647	Node 111	12
Node 248	Node 889	86
Node 86	Node 502	37
Node 175	Node 280	63
Node 639	Node 88	61
Node 653	Node 580	85
Node 746	Node 224	76
Node 967	Node 22	53
Node 966	Node 629	95
Node 680	Node 456	77
Node 829	Node 245	51
Node 867	Node 757	73
Node 70	Node 667	55
Node 201	Node 946	77
Node 629	Node 218	34
Node 243	Node 117	86
Node 223	Node 904	36
Node 339	Node 280	5
Node 603	Node 895	13
Node 151	Node 979	25
Node 966	Node 387	72
Node 152	Node 634	32
Node 698	Node 547	43
Node 121	Node 147	32
Node 522	Node 397	9
Node 545	Node 707	49
Node 658	Node 489	7
Node 292	Node 776	29
Node 55	Node 371	15
Node 291	Node 780	28
Node 769	Node 484	8
Node 519	Node 333	75
Node 721	Node 959	15
Node 119	Node 762	6
Node 358	Node 268	20
Node 688	Node 622	45
Node 551	Node 346	86
Node 940	Node 171	8
Node 575	Node 870	85
Node 176	Node 53	92
Node 371	Node 461	83
Node 822	Node 881	89
Node 586	Node 982	85
Node 152	Node 378	1
Node 177	Node 634	98
Node 991	Node 930	80
Node 170	Node 260	5
Node 338	Node 123	56
Node 332	Node 529	76
Node 536	Node 950	60
Node 545	Node 561	95
Node 378	Node 285	31
Node 357	Node 844	50
Node 295	Node 436	45
Node 296	Node 841	65
Node 76	Node 999	31
Node 94	Node 669	82
Node 121	Node 314	72
Node 430	Node 379	88
Node 503	Node 307	43
Node 582	Node 669	43
Node 301	Node 313	61
Node 471	Node 16	80
Node 925	Node 596	63
Node 277	Node 24	15
Node 889	Node 722	3
Node 596	Node 539	80
Node 849	Node 703	20
